fc =	150 Hz
R Vin	R V(+)	C feedback	C V(+)	Erro(%)
12 kOhm	20 kOhm	100 nF	47 nF	0.31
8.2 kOhm	91 kOhm	100 nF	15 nF	1.05
5.1 kOhm	10 kOhm	220 nF	100 nF	1.21
51 kOhm	100 kOhm	22 nF	10 nF	1.21
18 kOhm	51 kOhm	56 nF	22 nF	1.43
16 kOhm	22 kOhm	82 nF	39 nF	1.74
10 kOhm	91 kOhm	82 nF	15 nF	1.91
11 kOhm	56 kOhm	82 nF	22 nF	2.24
56 kOhm	91 kOhm	22 nF	10 nF	2.64
5.6 kOhm	9.1 kOhm	220 nF	100 nF	2.64
36 kOhm	62 kOhm	33 nF	15 nF	2.76
15 kOhm	24 kOhm	82 nF	39 nF	2.79
33 kOhm	68 kOhm	33 nF	15 nF	2.85
16 kOhm	82 kOhm	56 nF	15 nF	2.93
12 kOhm	43 kOhm	82 nF	27 nF	3.06
22 kOhm	33 kOhm	56 nF	27 nF	3.09
9.1 kOhm	47 kOhm	100 nF	27 nF	3.17
20 kOhm	82 kOhm	47 nF	15 nF	3.42
16 kOhm	39 kOhm	68 nF	27 nF	3.43
4.3 kOhm	18 kOhm	220 nF	68 nF	3.51
27 kOhm	27 kOhm	56 nF	27 nF	3.60
3.6 kOhm	43 kOhm	220 nF	33 nF	3.64
13 kOhm	18 kOhm	100 nF	47 nF	3.76
13 kOhm	33 kOhm	82 nF	33 nF	3.83
3.6 kOhm	51 kOhm	220 nF	27 nF	3.86
18 kOhm	27 kOhm	68 nF	33 nF	3.94
4.7 kOhm	13 kOhm	220 nF	82 nF	4.07
30 kOhm	36 kOhm	47 nF	22 nF	4.14
11 kOhm	22 kOhm	100 nF	47 nF	4.21
15 kOhm	16 kOhm	100 nF	47 nF	4.24
18 kOhm	20 kOhm	82 nF	39 nF	4.28
24 kOhm	30 kOhm	56 nF	27 nF	4.38
33 kOhm	33 kOhm	47 nF	22 nF	4.59
3.9 kOhm	27 kOhm	220 nF	47 nF	4.60
27 kOhm	39 kOhm	47 nF	22 nF	4.61
8.2 kOhm	62 kOhm	100 nF	22 nF	4.68
22 kOhm	22 kOhm	68 nF	33 nF	4.79
